fetched_at,temperature,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed,humidity
2026-09-01T02:02:58+09:00,23.7,26.7,0.0,0.0,1,39,9.1,84
2026-09-01T11:58:28+09:00,27.6,31.8,0.0,0.0,2,50,3.9,70
2026-09-01T17:24:23+09:00,27.0,30.7,0.0,0.0,2,51,11.2,77
2026-09-01T22:35:20+09:00,24.9,29.4,0.0,0.0,1,39,6.0,88
2026-09-02T02:26:35+09:00,24.0,28.4,0.0,0.0,1,39,4.8,91
2026-09-02T11:18:46+09:00,28.6,34.4,0.0,0.0,0,15,7.6,74
2026-09-02T16:13:05+09:00,28.8,33.1,0.0,0.0,1,20,14.8,78
2026-09-02T21:06:35+09:00,26.7,31.4,0.0,0.0,2,77,8.9,84
2026-09-03T01:32:13+09:00,26.0,31.0,0.0,0.0,1,38,7.6,89
2026-09-03T11:26:09+09:00,28.3,32.3,0.0,0.0,3,82,14.9,78
2026-09-03T16:18:02+09:00,27.3,32.3,0.0,0.0,3,90,6.8,81
2026-09-03T21:11:06+09:00,26.0,31.3,0.0,0.0,1,33,3.7,87
2026-09-04T01:23:57+09:00,23.7,27.5,0.0,0.0,1,47,5.7,88
2026-09-04T11:21:51+09:00,24.0,28.0,0.2,0.2,53,80,5.8,88
2026-09-04T16:19:49+09:00,24.2,27.9,0.0,0.0,3,98,7.3,86
2026-09-04T21:12:02+09:00,23.3,27.3,0.5,0.5,61,97,4.8,90
2026-09-05T01:21:58+09:00,22.2,25.0,0.6,0.6,61,91,9.1,91
2026-09-05T11:22:27+09:00,22.6,24.8,0.0,0.0,3,92,10.2,83
2026-09-05T16:01:43+09:00,25.0,27.2,0.0,0.0,3,100,9.9,72
2026-09-05T20:15:31+09:00,23.4,25.1,0.0,0.0,2,69,11.8,76
2026-09-05T22:56:50+09:00,22.8,24.8,0.0,0.0,2,79,11.4,82
2026-09-06T11:18:20+09:00,21.5,23.3,0.3,0.3,55,82,14.0,90
2026-09-06T16:13:19+09:00,23.7,25.7,0.9,0.9,63,99,19.1,89
2026-09-06T20:39:03+09:00,22.5,22.9,0.7,0.7,63,88,25.8,88
2026-09-06T23:23:59+09:00,22.7,24.5,16.0,16.0,65,99,18.4,92
2026-09-07T11:15:47+09:00,23.0,26.2,0.4,0.4,61,87,10.1,92
2026-09-07T16:26:26+09:00,24.9,29.3,0.1,0.1,51,63,10.0,92
2026-09-07T22:36:12+09:00,23.3,27.7,0.0,0.0,2,62,3.3,92
2026-09-08T03:23:07+09:00,23.1,27.1,0.1,0.1,51,58,7.6,95
2026-09-08T11:27:48+09:00,26.2,32.0,0.0,0.0,1,31,2.9,88
2026-09-08T16:22:02+09:00,28.5,34.4,0.0,0.0,3,95,10.0,86
2026-09-08T21:12:50+09:00,27.7,32.8,0.5,0.5,61,100,15.2,89
2026-09-09T01:38:31+09:00,28.0,31.9,0.1,0.1,51,31,23.3,88
2026-09-09T11:29:26+09:00,29.2,33.2,0.1,0.1,51,41,24.7,84
2026-09-09T16:31:46+09:00,25.1,27.3,0.0,0.0,2,61,19.0,84
2026-09-09T21:28:48+09:00,22.3,24.6,0.6,0.6,61,96,14.0,91
2026-09-10T01:49:48+09:00,20.8,22.4,0.2,0.2,53,88,12.4,89
2026-09-10T11:30:18+09:00,20.4,21.3,0.0,0.0,3,96,10.4,80
2026-09-10T16:30:13+09:00,20.7,21.8,0.0,0.0,2,76,9.4,79
2026-09-10T21:22:04+09:00,19.7,21.6,0.0,0.0,3,84,8.3,92
