fetched_at,temperature,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed,humidity
2026-07-01T19:49:21+09:00,23.2,26.6,0.0,0.0,3,90,9.4,92
2026-07-01T20:07:23+09:00,23.1,26.4,0.0,0.0,3,86,10.1,92
2026-07-01T22:40:22+09:00,22.9,26.5,0.0,0.0,3,92,8.3,93
2026-07-02T01:09:58+09:00,22.6,25.7,0.1,0.1,51,97,10.2,92
2026-07-02T11:38:47+09:00,21.9,25.3,0.1,0.1,51,74,6.0,94
2026-07-02T15:24:54+09:00,23.0,26.0,0.0,0.0,2,61,6.9,84
2026-07-02T18:41:37+09:00,22.2,24.2,0.0,0.0,2,69,9.7,83
2026-07-02T20:56:09+09:00,22.2,24.4,0.0,0.0,2,57,7.8,82
2026-07-02T22:50:52+09:00,21.8,24.3,0.0,0.0,1,47,6.6,85
2026-07-03T11:14:06+09:00,24.5,27.4,0.0,0.0,1,45,3.6,72
2026-07-03T18:34:11+09:00,24.3,27.2,0.0,0.0,1,30,6.2,77
2026-07-03T20:54:55+09:00,22.9,25.3,0.0,0.0,1,35,8.2,81
2026-07-03T22:48:51+09:00,21.9,24.5,0.0,0.0,2,59,6.2,85
2026-07-04T14:54:59+09:00,24.8,28.6,0.0,0.0,2,72,5.4,81
2026-07-04T17:27:59+09:00,24.5,27.6,0.0,0.0,2,76,9.9,82
2026-07-04T19:32:50+09:00,23.7,26.9,0.0,0.0,3,87,7.2,84
2026-07-04T20:55:26+09:00,23.5,26.7,0.0,0.0,3,96,8.1,86
2026-07-04T22:10:30+09:00,23.1,26.1,0.0,0.0,3,95,9.0,87
2026-07-04T23:44:56+09:00,22.9,25.9,0.0,0.0,3,100,9.7,89
2026-07-05T11:28:26+09:00,23.2,25.5,0.0,0.0,3,97,11.9,83
2026-07-05T15:24:08+09:00,23.6,25.6,0.0,0.0,3,91,9.4,76
2026-07-05T18:26:24+09:00,23.2,25.1,0.0,0.0,3,89,10.0,77
2026-07-05T20:17:00+09:00,22.6,24.6,0.0,0.0,2,53,9.7,80
2026-07-05T21:46:53+09:00,22.7,24.5,0.0,0.0,2,63,10.6,80
2026-07-05T23:26:36+09:00,22.0,24.4,0.1,0.1,51,60,6.5,83
2026-07-06T11:32:42+09:00,22.3,24.0,0.0,0.0,2,65,8.7,77
2026-07-06T15:55:28+09:00,22.4,23.6,0.1,0.1,51,69,11.1,75
2026-07-06T20:24:27+09:00,21.5,23.7,0.5,0.5,61,94,4.7,80
2026-07-06T23:41:56+09:00,20.4,21.9,0.0,0.0,3,98,3.9,75
2026-07-07T11:28:11+09:00,22.7,25.0,0.1,0.1,51,88,10.7,85
2026-07-07T15:29:14+09:00,23.7,25.9,0.0,0.0,2,65,6.9,73
2026-07-07T19:06:42+09:00,23.8,25.3,0.0,0.0,1,45,9.2,70
2026-07-07T21:38:23+09:00,22.7,25.0,0.0,0.0,2,64,7.2,79
2026-07-08T00:34:10+09:00,22.0,24.6,0.0,0.0,1,48,4.3,82
2026-07-08T11:02:22+09:00,26.1,30.0,0.0,0.0,1,38,6.7,69
2026-07-08T14:30:32+09:00,27.6,30.3,0.0,0.0,2,74,3.9,58
2026-07-08T16:57:42+09:00,25.8,28.6,0.0,0.0,2,77,9.7,73
2026-07-08T19:18:34+09:00,24.3,27.9,0.0,0.0,1,43,5.5,82
2026-07-08T21:01:51+09:00,23.9,27.7,0.0,0.0,1,46,4.3,84
2026-07-08T23:39:22+09:00,23.2,26.8,0.0,0.0,2,66,5.7,88
2026-07-09T11:14:20+09:00,26.3,31.8,0.0,0.0,0,17,5.4,78
2026-07-09T15:16:11+09:00,27.3,31.2,0.0,0.0,1,20,10.2,77
2026-07-09T19:07:40+09:00,25.0,28.3,0.0,0.0,1,34,11.0,83
2026-07-10T00:46:54+09:00,23.5,26.7,0.0,0.0,0,19,9.7,88
2026-07-10T11:14:37+09:00,27.4,33.4,0.0,0.0,0,7,10.1,78
2026-07-10T15:15:47+09:00,27.3,30.6,0.0,0.0,0,14,14.3,76
2026-07-10T18:58:31+09:00,24.6,27.0,0.0,0.0,0,5,17.2,85
2026-07-10T21:26:51+09:00,24.2,27.0,0.0,0.0,0,18,13.0,85
2026-07-11T00:11:11+09:00,23.8,27.0,0.0,0.0,0,15,12.6,90
2026-07-11T11:00:08+09:00,27.2,32.1,0.0,0.0,2,57,12.8,81
2026-07-11T14:19:28+09:00,27.6,31.2,0.0,0.0,2,78,16.6,79
2026-07-11T16:22:33+09:00,26.7,30.3,0.0,0.0,2,67,13.4,80
